Squad_Name,Name,DOB,Bat_Style,Bowl_Style,Role
Netherlands Squad,Timm van der Gugten,"February 25, 1991, Hornsby, Upper North Shore, Sydney",Right hand Bat,Right arm Fast medium,Bowler
Netherlands Squad,Tom Cooper,"November 26, 1986, Wollongong, New South Wales",Right hand Bat,Right arm Offbreak,Middle order Batter
Zimbabwe squad,Tony Munyonga,"January 31, 1999, Chitungwiza",Right hand Bat,Right arm Offbreak,Allrounder
New Zealand Squad,Trent Boult,"July 22, 1989, Rotorua",Right hand Bat,Left arm Fast medium,Bowler
South Africa Squad,Tristan Stubbs,14-Aug-00,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter
England Squad,Tymal Solomon Mills,"August 12, 1992, Dewsbury, Yorkshire",Right hand Bat,Left arm Fast,Bowler
Afghanistan Squad,Usman Ghani,20-Nov-96,Right hand Bat,,Opening Batter
Netherlands Squad,Vikramjit Singh,"January 09, 2003, Cheema Khurd, Punjab",Left hand Bat,Right arm Medium fast,Opening Batter
India Squad,Virat Kohli,"November 05, 1988, Delhi",Right hand Bat,Right arm Medium,Top order Batter
United Arab Emirates Squad,Vriitya Aravind,"June 11, 2002, Chennai, India",Right hand Bat,,Wicketkeeper
Sri Lanka Squad,Wanindu Hasaranga de Silva,"July 29, 1997, Galle",Right hand Bat,Legbreak,Allrounder
South Africa Squad,Wayne Parnell,"July 30, 1989, Port Elizabeth, Cape Province",Left hand Bat,Left arm Medium fast,Bowler
Zimbabwe squad,Wellington Masakadza,"October 04, 1993, Harare",Left hand Bat,Slow Left arm Orthodox,Bowler
Zimbabwe squad,Wessly Madhevere,"September 04, 2000, Harare",Right hand Bat,Right arm Offbreak,Allrounder
West Indies Squad,Yannic Cariah,"June 22, 1992, Trinidad",Left hand Bat,Legbreak,Bowler
Bangladesh Squad,Yasir Ali,"June 03, 1996, Chittagong",Right hand Bat,Right arm Offbreak,Middle order Batter
India Squad,Yuzvendra Chahal,"July 23, 1990, Jind, Haryana",Right hand Bat,Legbreak Googly,Bowler
United Arab Emirates Squad,Zahoor Khan,"May 25, 1989, Faisalabad, Punjab",Right hand Bat,Right arm Medium fast,Bowler
Namibia Squad,Zane Green,"October 11, 1996, Namibia",Left hand Bat,,Wicketkeeper Batter
United Arab Emirates Squad,Zawar Farid,"July 25, 1992, Sahiwal",Right hand Bat,Right arm Medium,Bowler
